embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
SOC,026,6426,JED,PK-GHI,KNO,11062026,1200,11062026,2115,33H
SOC,026,6426,KNO,PK-GHI,SOC,11062026,2215,12062026,0115,33H
SOC,027,6327,SOC,PK-GHI,JED,11062026,0315,11062026,1340,333
SOC,027,6427,JED,PK-GHI,KNO,11062026,1540,12062026,0050,333
SOC,027,6427,KNO,PK-GHI,SOC,12062026,0150,12062026,0445,333
SOC,028,6328,SOC,PK-GHI,JED,11062026,0620,11062026,1700,333
SOC,028,6428,JED,PK-GHI,KNO,11062026,1900,12062026,0415,333
SOC,028,6428,KNO,PK-GHI,SOC,12062026,0515,12062026,0815,333
SOC,029,6329,SOC,PK-GHI,JED,11062026,1915,12062026,0555,333
SOC,029,6429,JED,PK-GHI,KNO,12062026,0755,12062026,1710,333
SOC,029,6429,KNO,PK-GHI,SOC,12062026,1810,12062026,2110,333
SOC,030,944,SOC,PK-GHI,JED,12062026,0055,12062026,1135,33L
SOC,030,945,JED,PK-GHI,KNO,12062026,1335,12062026,2250,33L
SOC,030,945,KNO,PK-GHI,SOC,12062026,2350,13062026,0250,33L
SOC,031,6331,SOC,PK-GHI,JED,12062026,0650,12062026,1730,33H
SOC,031,6431,JED,PK-GHI,KNO,12062026,1930,13062026,0445,33H
SOC,031,6431,KNO,PK-GHI,SOC,13062026,0545,13062026,0845,33H
SOC,032,6332,SOC,PK-GHI,JED,12062026,1100,12062026,2125,333
SOC,032,6432,JED,PK-GHI,KNO,12062026,2325,13062026,0835,333
SOC,032,6432,KNO,PK-GHI,SOC,13062026,0935,13062026,1230,333
SOC,033,6333,SOC,PK-GHI,JED,12062026,1420,13062026,0100,333
SOC,033,6433,JED,PK-GHI,KNO,13062026,0300,13062026,1215,333
SOC,033,6433,KNO,PK-GHI,SOC,13062026,1315,13062026,1615,333
SOC,034,6334,SOC,PK-GHI,JED,13062026,0320,13062026,1400,333
SOC,034,6434,JED,PK-GHI,KNO,13062026,1600,14062026,0115,333
SOC,034,6434,KNO,PK-GHI,SOC,14062026,0215,14062026,0515,333
SOC,035,6335,SOC,PK-GHI,JED,13062026,0915,13062026,1955,33L
SOC,035,6435,JED,PK-GHI,KNO,13062026,2155,14062026,0710,33L
